Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,11/3/2004,19-309,CLE,,IND,L (-5),1,50:56:00,8,19,0.421,2,5,0.4,10,12,0.833,1,4,5,8,1,3,6,2,28,20.9,-10
2,2,11/4/2004,19-310,CLE,@,MIA,L (-6),1,42:20:00,9,22,0.409,2,3,0.667,1,1,1,3,3,6,8,1,0,1,0,21,17.8,-8
3,3,11/6/2004,19-312,CLE,@,MIL,L (-14),1,41:53:00,8,20,0.4,0,3,0,15,22,0.682,2,6,8,6,3,0,4,0,31,23.8,-12
4,4,11/9/2004,19-315,CLE,@,ATL,W (+14),1,48:00:00,8,17,0.471,1,4,0.25,8,12,0.667,1,9,10,4,4,2,3,2,25,22.5,14
5,5,11/10/2004,19-316,CLE,,PHO,W (+5),1,48:21:00,13,24,0.542,1,2,0.5,11,12,0.917,3,7,10,6,3,3,3,1,38,36.1,14
6,6,11/13/2004,19-319,CLE,,WAS,W (+31),1,37:24:00,10,20,0.5,0,3,0,4,5,0.8,1,8,9,4,3,2,4,0,24,19.9,25
7,7,11/15/2004,19-321,CLE,,GSW,W (+11),1,41:58:00,12,22,0.545,3,5,0.6,6,8,0.75,2,10,12,4,2,1,1,1,33,30.1,15
8,8,11/18/2004,19-324,CLE,@,CHA,W (+17),1,29:06:00,8,14,0.571,2,3,0.667,1,2,0.5,1,5,6,9,0,0,1,3,19,18.3,21
9,9,11/20/2004,19-326,CLE,,CHA,W (+16),1,37:49:00,11,20,0.55,0,2,0,3,4,0.75,5,3,8,2,3,1,7,0,25,17.5,24
10,10,11/21/2004,19-327,CLE,@,NYK,L (-10),1,40:41:00,5,15,0.333,1,3,0.333,2,3,0.667,2,7,9,10,1,1,5,3,13,10.1,1
11,11,11/24/2004,19-330,CLE,,DET,W (+16),1,37:30:00,15,22,0.682,2,3,0.667,11,12,0.917,3,3,6,5,3,1,3,3,43,39.2,12
12,12,11/26/2004,19-332,CLE,@,BOS,W (+2),1,42:48:00,9,13,0.692,0,2,0,2,3,0.667,0,6,6,8,3,1,2,2,20,22.4,6
13,13,11/27/2004,19-333,CLE,,CHI,W (+22),1,31:55:00,11,17,0.647,1,2,0.5,3,4,0.75,1,6,7,7,1,0,2,0,26,24.5,25
14,14,11/29/2004,19-335,CLE,@,LAC,L (-12),1,42:19:00,9,19,0.474,0,2,0,4,5,0.8,1,6,7,5,6,1,3,2,22,20.8,-16
15,15,12/1/2004,19-337,CLE,@,PHO,L (-19),1,40:47:00,6,19,0.316,0,2,0,3,4,0.75,1,2,3,6,2,1,6,2,15,5.1,-17
16,16,12/2/2004,19-338,CLE,@,DEN,W (+19),1,41:10:00,8,17,0.471,0,0,,1,2,0.5,1,7,8,9,2,1,5,3,17,13.5,23
17,17,12/4/2004,19-340,CLE,,TOR,W (+8),1,42:50:00,10,17,0.588,1,3,0.333,6,7,0.857,0,6,6,10,2,1,3,2,27,26.4,15
18,18,12/7/2004,19-343,CLE,,NJN,W (+6),1,46:05:00,11,22,0.5,0,1,0,5,6,0.833,0,2,2,8,3,0,3,4,27,20.2,6
19,19,12/8/2004,19-344,CLE,@,CHI,L (-28),1,37:18:00,5,15,0.333,0,2,0,9,12,0.75,0,2,2,6,1,1,4,2,19,11,-22
20,20,12/11/2004,19-347,CLE,@,SAS,L (-19),1,41:13:00,10,19,0.526,1,3,0.333,2,2,1,3,3,6,10,4,0,3,2,23,23.9,-18
21,21,12/13/2004,19-349,CLE,@,MEM,W (+6),1,45:49:00,14,22,0.636,1,3,0.333,2,4,0.5,0,5,5,8,7,0,3,2,31,30.7,10
22,22,12/15/2004,19-351,CLE,,POR,W (+24),1,37:09:00,10,18,0.556,2,3,0.667,3,3,1,2,9,11,7,3,2,3,1,25,26.4,18
23,23,12/16/2004,19-352,CLE,@,DET,L (-12),1,45:04:00,4,21,0.19,0,2,0,3,5,0.6,1,8,9,7,4,1,3,2,11,6,-8
24,24,12/18/2004,19-354,CLE,,BOS,L (-7),1,40:32:00,12,25,0.48,3,5,0.6,4,8,0.5,1,4,5,4,3,1,4,6,31,18.7,-1
25,25,12/21/2004,19-357,CLE,,MIN,W (+10),1,43:11:00,10,18,0.556,0,1,0,6,8,0.75,0,6,6,12,1,0,2,2,26,25,13
26,26,12/22/2004,19-358,CLE,@,NJN,L (-2),1,42:38:00,7,18,0.389,1,1,1,8,10,0.8,1,8,9,9,1,0,4,2,23,18,-3
27,27,12/26/2004,19-362,CLE,,NOH,W (+9),1,44:40:00,7,16,0.438,0,1,0,8,9,0.889,1,8,9,14,4,1,5,2,22,25,8
28,28,12/28/2004,19-364,CLE,@,ATL,W (+9),1,46:20:00,13,25,0.52,3,5,0.6,11,14,0.786,1,8,9,7,1,0,1,2,40,33.7,8
29,29,12/29/2004,19-365,CLE,,HOU,L (-11),1,17:23,0,5,0,0,1,0,3,5,0.6,0,3,3,5,0,0,0,0,3,3.1,-10
30,30,1/3/2005,20-004,CLE,@,CHA,W (+11),1,40:18:00,11,19,0.579,0,3,0,4,6,0.667,2,6,8,6,2,0,1,3,26,23.5,14
31,31,1/5/2005,20-006,CLE,,ATL,W (+16),1,39:39:00,7,14,0.5,2,5,0.4,4,6,0.667,1,5,6,9,1,1,2,4,20,18.8,10
32,32,1/8/2005,20-009,CLE,,NYK,W (+25),1,32:42:00,10,14,0.714,0,0,,2,2,1,1,2,3,4,0,2,8,2,22,12.9,5
33,33,1/11/2005,20-012,CLE,,CHA,W (+2),1,49:02:00,11,24,0.458,2,5,0.4,5,7,0.714,1,7,8,9,2,1,8,1,29,19.2,7
34,34,1/13/2005,20-014,CLE,@,LAL,L (-4),1,44:20:00,12,26,0.462,1,4,0.25,3,4,0.75,3,10,13,9,1,1,4,1,28,22.9,-1
35,35,1/15/2005,20-016,CLE,@,UTA,W (+13),1,41:18:00,9,20,0.45,0,1,0,9,14,0.643,1,7,8,5,5,0,3,2,27,22.1,11
36,36,1/16/2005,20-017,CLE,@,SEA,L (-8),1,44:09:00,14,30,0.467,3,7,0.429,4,6,0.667,2,3,5,11,4,1,1,4,35,30.9,-7
37,37,1/19/2005,20-020,CLE,@,POR,W (+6),1,43:47:00,11,16,0.688,1,1,1,4,6,0.667,1,10,11,10,4,0,2,4,27,30.5,0
38,38,1/20/2005,20-021,CLE,@,SAC,L (-27),1,36:37:00,9,19,0.474,0,1,0,0,1,0,1,7,8,6,1,0,3,0,18,12.9,-24
39,39,1/22/2005,20-023,CLE,@,GSW,W (+18),1,43:15:00,13,24,0.542,0,1,0,2,2,1,1,11,12,10,1,1,3,1,28,25.7,19
40,40,1/24/2005,20-025,CLE,,WAS,L (-9),1,48:00:00,12,26,0.462,1,1,1,6,10,0.6,4,6,10,8,2,1,5,3,31,22.7,-9
41,41,1/26/2005,20-027,CLE,,MEM,W (+3),1,41:47:00,10,16,0.625,4,6,0.667,3,4,0.75,1,8,9,15,3,2,5,1,27,32,7
42,,1/28/2005,20-029,CLE,@,NYK,L (-3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
43,,1/30/2005,20-031,CLE,,MIL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,42,2/1/2005,20-033,CLE,@,ORL,L (-3),1,43:20:00,10,20,0.5,0,3,0,8,13,0.615,2,3,5,7,0,1,3,2,28,20.1,-3
45,43,2/3/2005,20-035,CLE,@,MIA,L (-12),1,45:57:00,11,23,0.478,1,3,0.333,8,12,0.667,2,0,2,10,3,0,2,2,31,26.3,-8
46,44,2/5/2005,20-037,CLE,,ORL,W (+9),1,45:36:00,9,21,0.429,0,3,0,12,13,0.923,0,6,6,9,2,0,1,2,30,26.8,10
47,45,2/8/2005,20-040,CLE,,TOR,W (+13),1,36:10:00,6,14,0.429,0,3,0,3,4,0.75,1,7,8,11,3,0,2,1,15,18.3,15
48,46,2/11/2005,20-043,CLE,,DEN,L (-5),1,43:05:00,12,29,0.414,1,6,0.167,10,12,0.833,2,4,6,6,1,0,4,2,35,21.7,-13
49,47,2/13/2005,20-045,CLE,,LAL,W (+14),1,45:42:00,8,20,0.4,0,0,,9,10,0.9,2,6,8,9,3,1,3,3,25,22.8,9
50,48,2/16/2005,20-048,CLE,,ATL,W (+22),1,37:00:00,11,20,0.55,2,2,1,4,5,0.8,0,5,5,6,3,0,3,0,28,23.7,27
51,49,2/17/2005,20-049,CLE,@,MIN,L (-6),1,41:02:00,10,19,0.526,1,2,0.5,5,6,0.833,2,5,7,8,1,0,2,0,26,23.8,-1
52,50,2/23/2005,20-055,CLE,,CHI,W (+9),1,44:19:00,8,17,0.471,1,1,1,10,15,0.667,1,5,6,11,5,0,3,2,27,27.4,7
53,51,2/25/2005,20-057,CLE,@,IND,L (-24),1,40:29:00,9,25,0.36,0,1,0,3,4,0.75,3,4,7,5,2,1,2,0,21,14.2,-11
54,52,2/27/2005,20-059,CLE,@,NJN,L (-6),1,45:05:00,9,20,0.45,1,2,0.5,9,10,0.9,1,3,4,7,2,0,5,4,28,19.1,-10
55,53,2/28/2005,20-060,CLE,,SAS,L (-2),1,44:41:00,6,22,0.273,1,4,0.25,7,10,0.7,1,7,8,7,0,0,2,3,20,10.3,2
56,54,3/2/2005,20-062,CLE,,SEA,L (-17),1,40:51:00,11,20,0.55,5,7,0.714,5,8,0.625,0,5,5,5,0,0,4,2,32,21.4,-7
57,55,3/4/2005,20-064,CLE,@,PHI,L (-9),1,39:57:00,12,21,0.571,0,1,0,10,12,0.833,1,6,7,7,4,0,6,1,34,28.3,-10
58,56,3/6/2005,20-066,CLE,,MIA,L (-20),1,40:14:00,9,19,0.474,0,1,0,5,7,0.714,0,4,4,5,2,0,1,1,23,17.8,-17
59,57,3/8/2005,20-068,CLE,,ORL,W (+19),1,40:37:00,9,22,0.409,2,6,0.333,3,4,0.75,0,7,7,8,1,1,1,3,23,18,18
60,58,3/13/2005,20-073,CLE,,IND,W (+12),1,42:51:00,12,23,0.522,1,5,0.2,10,11,0.909,2,3,5,5,1,0,4,1,35,25.7,12
61,59,3/15/2005,20-075,CLE,,UTA,W (+19),1,34:11:00,11,15,0.733,2,5,0.4,12,16,0.75,2,7,9,2,0,1,1,1,36,32.5,22
62,60,3/16/2005,20-076,CLE,@,MIL,L (-8),1,45:07:00,13,26,0.5,4,9,0.444,4,7,0.571,1,6,7,6,1,0,5,0,34,22.5,-14
63,61,3/18/2005,20-078,CLE,,PHI,L (-12),1,46:00:00,3,20,0.15,0,4,0,10,12,0.833,0,8,8,8,4,0,4,0,16,10.4,-8
64,62,3/20/2005,20-080,CLE,@,TOR,L (-7),1,48:00:00,18,36,0.5,6,12,0.5,14,15,0.933,2,8,10,5,2,0,4,0,56,42.9,-7
65,63,3/22/2005,20-082,CLE,,DET,W (+15),1,42:56:00,11,24,0.458,2,7,0.286,5,8,0.625,1,5,6,6,1,0,0,1,29,22.4,21
66,64,3/24/2005,20-084,CLE,@,HOU,L (-19),1,41:47:00,7,22,0.318,1,4,0.25,4,7,0.571,0,4,4,8,1,0,2,1,19,10.6,-17
67,65,3/26/2005,20-086,CLE,@,DAL,L (-31),1,35:39:00,7,17,0.412,0,2,0,5,6,0.833,1,3,4,6,0,0,3,1,19,11.9,-24
68,66,3/28/2005,20-088,CLE,@,NOH,W (+1),1,53:00:00,16,29,0.552,3,10,0.3,9,11,0.818,2,4,6,3,4,0,10,3,44,26.8,1
69,67,3/29/2005,20-089,CLE,,LAC,W (+10),1,40:47:00,7,20,0.35,2,8,0.25,6,7,0.857,0,7,7,5,2,1,1,0,22,17.7,11
70,68,3/31/2005,20-091,CLE,@,CHI,L (-12),1,53:00:00,10,28,0.357,1,4,0.25,5,11,0.455,4,2,6,7,4,2,3,5,26,16.7,-12
71,69,4/1/2005,20-092,CLE,,SAC,L (-19),1,44:09:00,13,21,0.619,2,4,0.5,7,10,0.7,0,8,8,9,2,0,7,2,35,27.2,-15
72,70,4/3/2005,20-094,CLE,,DAL,W (+20),1,48:00:00,10,23,0.435,4,8,0.5,13,13,1,2,8,10,7,2,1,6,3,37,29.1,20
73,71,4/5/2005,20-096,CLE,,NJN,L (-31),1,39:50:00,9,19,0.474,3,6,0.5,3,6,0.5,2,7,9,4,2,2,6,2,24,16,-21
74,72,4/6/2005,20-097,CLE,@,IND,L (-21),1,33:17:00,9,18,0.5,0,3,0,2,4,0.5,2,2,4,3,1,0,2,2,20,12.5,-15
75,73,4/8/2005,20-099,CLE,@,PHI,L (-5),1,48:00:00,12,30,0.4,2,6,0.333,11,11,1,4,9,13,7,5,0,5,1,37,30.8,-5
76,74,4/9/2005,20-100,CLE,,MIL,W (+17),1,46:35:00,15,26,0.577,7,13,0.538,3,3,1,1,9,10,10,2,1,3,2,40,37.1,13
77,75,4/11/2005,20-102,CLE,@,ORL,W (+8),1,48:00:00,12,23,0.522,1,6,0.167,8,10,0.8,1,6,7,6,5,1,2,4,33,29.7,8
78,76,4/14/2005,20-105,CLE,,NYK,L (-6),1,41:31:00,7,25,0.28,4,13,0.308,9,14,0.643,1,17,18,7,2,2,4,3,27,19.2,1
79,77,4/15/2005,20-106,CLE,@,WAS,L (-8),1,48:00:00,16,33,0.485,1,6,0.167,5,8,0.625,2,4,6,6,1,0,1,3,38,25.7,-8
80,78,4/17/2005,20-108,CLE,@,DET,L (-3),1,45:12:00,12,35,0.343,2,7,0.286,11,14,0.786,3,8,11,6,0,1,1,0,37,24.5,-6
81,79,4/19/2005,20-110,CLE,,BOS,W (+14),1,46:06:00,13,27,0.481,2,3,0.667,4,5,0.8,1,7,8,6,5,0,3,3,32,25.7,13
82,80,4/20/2005,20-111,CLE,@,TOR,W (+9),1,48:00:00,10,23,0.435,2,8,0.25,5,10,0.5,2,12,14,14,0,1,2,1,27,26,9
